Date	Action	AMT	Balance
2020-02-03T14:53:55.311	lodgement	200.0	200.0
2020-02-03T14:56:03.628	lodgement	200.0	200.0
2020-02-03T14:56:57.471	lodgement	200.0	200.0
2020-02-03T15:07:36.161	lodgement	11200.0	11200.0
2020-02-03T15:16:40.186	lodgement	9200.0	9200.0
2020-02-03T15:18:25.392	lodgement	77.0	77.0
2020-02-03T15:32:17.531	lodgement	14400.0	14400.0
2020-02-03T15:36:14.801	lodgement	23.0	23.0
2020-02-03T15:39:15.534	lodgement	9.0	9.0
2020-02-03T15:53:35.614	lodgement	7.0	7.0
2020-02-03T15:59:57.008	lodgement	10.0	10.0
2020-02-03T16:04:52.178	lodgement	86.0	96.0
2020-02-03T16:05:31.980	lodgement	10.0	10.0
2020-02-03T16:06:57.804	lodgement	10.0	20.0
2020-02-03T16:07:33.491	lodgement	10.0	10.0
2020-02-03T16:08:55.921	lodgement	10.0	20.0
2020-02-03T16:09:23.798	lodgement	11.0	11.0
2020-02-03T16:10:26.203	lodgement	11.0	22.0
2020-02-03T16:15:00.203	lodgement	15.0	15.0
2020-02-03T16:18:49.519	lodgement	11.0	26.0
2020-02-03T16:19:11.664	lodgement	78.0	93.0
2020-02-03T16:20:27.938	lodgement	78.0	171.0
2020-02-03T16:20:52.954	lodgement	900.0	993.0
2020-02-03T16:25:33.387	lodgement	100.0	1093.0
2020-02-03T16:25:53.922	lodgement	1000.0	1993.0
2020-02-03T16:31:56.927	lodgement	1000.0	2993.0
2020-02-03T16:32:20.055	lodgement	1001.0	3994.0
2020-02-03T16:32:55.664	lodgement	1002.0	4996.0
